Pavarde        Vardas         vidurkis            mediana             
___________________________________________________________________________________________________
Vardas6194     Pavarde6194    10                  10                  
Vardas4783     Pavarde4783    9.8                 10                  
Vardas7747     Pavarde7747    9.8                 10                  
Vardas2144     Pavarde2144    9.5                 9.6                 
Vardas4789     Pavarde4789    9.5                 9.6                 
Vardas7415     Pavarde7415    9.4                 10                  
Vardas9661     Pavarde9661    9.4                 9.6                 
Vardas142      Pavarde142     9.4                 9.2                 
Vardas3577     Pavarde3577    9.4                 9.6                 
Vardas4221     Pavarde4221    9.4                 10                  
Vardas7621     Pavarde7621    9.3                 9.6                 
Vardas4785     Pavarde4785    9.3                 9.2                 
Vardas9237     Pavarde9237    9.3                 9.6                 
Vardas9026     Pavarde9026    9.3                 9.6                 
Vardas8062     Pavarde8062    9.3                 9.2                 
Vardas7635     Pavarde7635    9.3                 9.2                 
Vardas505      Pavarde505     9.2                 9.2                 
Vardas1339     Pavarde1339    9.2                 8.8                 
Vardas5998     Pavarde5998    9.2                 9.2                 
Vardas6236     Pavarde6236    9.2                 10                  
Vardas3177     Pavarde3177    9.2                 9.2                 
Vardas3067     Pavarde3067    9.1                 9.6                 
Vardas1187     Pavarde1187    9.1                 8.8                 
Vardas471      Pavarde471     9.1                 9.6                 
Vardas4248     Pavarde4248    9.1                 9.2                 
Vardas5366     Pavarde5366    9.1                 9.2                 
Vardas2241     Pavarde2241    9.1                 9.2                 
Vardas6433     Pavarde6433    9.1                 9.6                 
Vardas2541     Pavarde2541    9.1                 9.2                 
Vardas819      Pavarde819     9.1                 9.6                 
Vardas4934     Pavarde4934    9.1                 9.2                 
Vardas6609     Pavarde6609    9.1                 8.8                 
Vardas1692     Pavarde1692    9.1                 10                  
Vardas9471     Pavarde9471    9.1                 9.6                 
Vardas7817     Pavarde7817    9.1                 9.6                 
Vardas4768     Pavarde4768    9.1                 8.8                 
Vardas6872     Pavarde6872    9.1                 9.2                 
Vardas4763     Pavarde4763    9.1                 9                   
Vardas2761     Pavarde2761    9.1                 9.4                 
Vardas482      Pavarde482     9                   9.2                 
Vardas7307     Pavarde7307    9                   9.6                 
Vardas6352     Pavarde6352    9                   9.2                 
Vardas2459     Pavarde2459    9                   9.6                 
Vardas6129     Pavarde6129    9                   9.2                 
Vardas6135     Pavarde6135    9                   9.6                 
Vardas7763     Pavarde7763    9                   8.8                 
Vardas1683     Pavarde1683    9                   9.2                 
Vardas166      Pavarde166     9                   9.6                 
Vardas456      Pavarde456     9                   8.8                 
Vardas5953     Pavarde5953    9                   9.2                 
Vardas1126     Pavarde1126    9                   9.6                 
Vardas821      Pavarde821     9                   9.2                 
Vardas8586     Pavarde8586    9                   9.2                 
Vardas3018     Pavarde3018    9                   9.2                 
Vardas9595     Pavarde9595    9                   9.2                 
Vardas5688     Pavarde5688    9                   9.2                 
Vardas2369     Pavarde2369    9                   8.8                 
Vardas656      Pavarde656     9                   9.2                 
Vardas3213     Pavarde3213    9                   9                   
Vardas9338     Pavarde9338    9                   9                   
Vardas3527     Pavarde3527    9                   9.2                 
Vardas7225     Pavarde7225    9                   9.2                 
Vardas4998     Pavarde4998    9                   8.8                 
Vardas3029     Pavarde3029    9                   9.2                 
Vardas2505     Pavarde2505    9                   8.8                 
Vardas988      Pavarde988     9                   9.6                 
Vardas1682     Pavarde1682    9                   9.2                 
Vardas5078     Pavarde5078    9                   9.6                 
Vardas7466     Pavarde7466    9                   9.2                 
Vardas4370     Pavarde4370    9                   9.2                 
Vardas4020     Pavarde4020    9                   9.2                 
Vardas8673     Pavarde8673    9                   9.2                 
Vardas8595     Pavarde8595    9                   9.2                 
Vardas5419     Pavarde5419    9                   9.2                 
Vardas1779     Pavarde1779    9                   9.6                 
Vardas8983     Pavarde8983    9                   9.6                 
Vardas111      Pavarde111     9                   9.6                 
Vardas2653     Pavarde2653    9                   9.2                 
Vardas9003     Pavarde9003    9                   8.8                 
Vardas852      Pavarde852     9                   9.6                 
Vardas9927     Pavarde9927    9                   9.6                 
Vardas7620     Pavarde7620    9                   8.8                 
Vardas3923     Pavarde3923    8.9                 9                   
Vardas9027     Pavarde9027    8.9                 9.6                 
Vardas7521     Pavarde7521    8.9                 9.2                 
Vardas6246     Pavarde6246    8.9                 9.2                 
Vardas6862     Pavarde6862    8.9                 9.2                 
Vardas3538     Pavarde3538    8.9                 9.2                 
Vardas4530     Pavarde4530    8.9                 8.8                 
Vardas8309     Pavarde8309    8.9                 9.2                 
Vardas3102     Pavarde3102    8.9                 9.2                 
Vardas6268     Pavarde6268    8.9                 8.8                 
Vardas2949     Pavarde2949    8.9                 9.2                 
Vardas4924     Pavarde4924    8.9                 9.2                 
Vardas6158     Pavarde6158    8.9                 9.2                 
Vardas4684     Pavarde4684    8.9                 9.6                 
Vardas563      Pavarde563     8.9                 8.8                 
Vardas7448     Pavarde7448    8.9                 8.8                 
Vardas2873     Pavarde2873    8.9                 8.8                 
Vardas5057     Pavarde5057    8.9                 8.8                 
Vardas3024     Pavarde3024    8.9                 9.2                 
Vardas3855     Pavarde3855    8.9                 8.8                 
Vardas2195     Pavarde2195    8.9                 8.8                 
Vardas9281     Pavarde9281    8.9                 8.8                 
Vardas6920     Pavarde6920    8.9                 8.8                 
Vardas6223     Pavarde6223    8.9                 9.2                 
Vardas6363     Pavarde6363    8.9                 9.2                 
Vardas6870     Pavarde6870    8.9                 9.2                 
Vardas8098     Pavarde8098    8.9                 9.2                 
Vardas4001     Pavarde4001    8.9                 9.2                 
Vardas7062     Pavarde7062    8.9                 9.6                 
Vardas3621     Pavarde3621    8.9                 8.8                 
Vardas1563     Pavarde1563    8.8                 9                   
Vardas2741     Pavarde2741    8.8                 9                   
Vardas9696     Pavarde9696    8.8                 9.4                 
Vardas9354     Pavarde9354    8.8                 9                   
Vardas430      Pavarde430     8.8                 9                   
Vardas5662     Pavarde5662    8.8                 9                   
Vardas2795     Pavarde2795    8.8                 8.6                 
Vardas9442     Pavarde9442    8.8                 9.2                 
Vardas4064     Pavarde4064    8.8                 8.8                 
Vardas8719     Pavarde8719    8.8                 8.8                 
Vardas1932     Pavarde1932    8.8                 9.2                 
Vardas8533     Pavarde8533    8.8                 9.6                 
Vardas8733     Pavarde8733    8.8                 8.8                 
Vardas8551     Pavarde8551    8.8                 9.2                 
Vardas8585     Pavarde8585    8.8                 9.2                 
Vardas1832     Pavarde1832    8.8                 9.2                 
Vardas2413     Pavarde2413    8.8                 9.6                 
Vardas5345     Pavarde5345    8.8                 8.8                 
Vardas5375     Pavarde5375    8.8                 8.8                 
Vardas4847     Pavarde4847    8.8                 9.2                 
Vardas8314     Pavarde8314    8.8                 10                  
Vardas3390     Pavarde3390    8.8                 8.4                 
Vardas6501     Pavarde6501    8.8                 8.4                 
Vardas3160     Pavarde3160    8.8                 8.8                 
Vardas4809     Pavarde4809    8.8                 8.8                 
Vardas9813     Pavarde9813    8.8                 8.8                 
Vardas1056     Pavarde1056    8.8                 9.6                 
Vardas8919     Pavarde8919    8.8                 9.2                 
Vardas6215     Pavarde6215    8.8                 8.8                 
