Studentu duomenis su isvestu vidurkiu bei mediana
+-------------------+-------------------+-----------+--------+
| Vardas            | Pavarde           | Vidurkis  | Mediana|
+-------------------+-------------------+-----------+--------+
| Vardas1           | Pavarde1          | 1.8       | 6      |
| Vardas2           | Pavarde2          | 4.2       | 3      |
| Vardas3           | Pavarde3          | 3         | 7      |
| Vardas4           | Pavarde4          | 0.6       | 8      |
| Vardas5           | Pavarde5          | 5.4       | 1      |
| Vardas6           | Pavarde6          | 1.2       | 8      |
| Vardas7           | Pavarde7          | 5.4       | 2      |
| Vardas8           | Pavarde8          | 0.6       | 4      |
| Vardas9           | Pavarde9          | 4.2       | 4      |
| Vardas10          | Pavarde10         | 2.4       | 1      |
| Vardas11          | Pavarde11         | 1.8       | 2      |
| Vardas12          | Pavarde12         | 6         | 7      |
| Vardas13          | Pavarde13         | 4.2       | 4      |
| Vardas14          | Pavarde14         | 0.6       | 3      |
| Vardas15          | Pavarde15         | 4.8       | 3      |
| Vardas16          | Pavarde16         | 4.2       | 7      |
| Vardas17          | Pavarde17         | 4.2       | 4      |
| Vardas18          | Pavarde18         | 6         | 6      |
| Vardas19          | Pavarde19         | 6         | 8      |
| Vardas20          | Pavarde20         | 6         | 4      |
| Vardas21          | Pavarde21         | 4.8       | 3      |
| Vardas22          | Pavarde22         | 4.2       | 6      |
| Vardas23          | Pavarde23         | 4.8       | 2      |
| Vardas24          | Pavarde24         | 4.2       | 1      |
| Vardas25          | Pavarde25         | 5.4       | 8      |
| Vardas26          | Pavarde26         | 2.4       | 6      |
| Vardas27          | Pavarde27         | 4.2       | 5      |
| Vardas28          | Pavarde28         | 1.8       | 4      |
| Vardas29          | Pavarde29         | 3.6       | 2      |
| Vardas30          | Pavarde30         | 4.2       | 5      |
| Vardas31          | Pavarde31         | 2.4       | 4      |
| Vardas32          | Pavarde32         | 2.4       | 8      |
| Vardas33          | Pavarde33         | 4.2       | 4      |
| Vardas34          | Pavarde34         | 3.6       | 2      |
| Vardas35          | Pavarde35         | 0.6       | 6      |
| Vardas36          | Pavarde36         | 6         | 6      |
| Vardas37          | Pavarde37         | 1.2       | 6      |
| Vardas38          | Pavarde38         | 3         | 5      |
| Vardas39          | Pavarde39         | 0.6       | 6      |
| Vardas40          | Pavarde40         | 0.6       | 5      |
| Vardas41          | Pavarde41         | 4.2       | 9      |
| Vardas42          | Pavarde42         | 1.8       | 7      |
| Vardas43          | Pavarde43         | 2.4       | 6      |
| Vardas44          | Pavarde44         | 3.6       | 4      |
| Vardas45          | Pavarde45         | 4.8       | 5      |
| Vardas46          | Pavarde46         | 6         | 7      |
| Vardas47          | Pavarde47         | 4.2       | 6      |
| Vardas48          | Pavarde48         | 0.6       | 6      |
| Vardas49          | Pavarde49         | 0.6       | 3      |
| Vardas50          | Pavarde50         | 3         | 7      |
| Vardas51          | Pavarde51         | 4.8       | 4      |
| Vardas52          | Pavarde52         | 3.6       | 6      |
| Vardas53          | Pavarde53         | 0.6       | 7      |
| Vardas54          | Pavarde54         | 3.6       | 6      |
| Vardas55          | Pavarde55         | 5.4       | 7      |
| Vardas56          | Pavarde56         | 3         | 6      |
| Vardas57          | Pavarde57         | 3         | 5      |
| Vardas58          | Pavarde58         | 2.4       | 6      |
| Vardas59          | Pavarde59         | 3         | 3      |
| Vardas60          | Pavarde60         | 3.6       | 6      |
| Vardas61          | Pavarde61         | 4.8       | 6      |
| Vardas62          | Pavarde62         | 6         | 4      |
| Vardas63          | Pavarde63         | 4.2       | 4      |
| Vardas64          | Pavarde64         | 4.2       | 7      |
| Vardas65          | Pavarde65         | 1.8       | 4      |
| Vardas66          | Pavarde66         | 3.6       | 7      |
| Vardas67          | Pavarde67         | 6         | 4      |
| Vardas68          | Pavarde68         | 1.2       | 6      |
| Vardas69          | Pavarde69         | 5.4       | 5      |
| Vardas70          | Pavarde70         | 0.6       | 5      |
| Vardas71          | Pavarde71         | 5.4       | 7      |
| Vardas72          | Pavarde72         | 2.4       | 5      |
| Vardas73          | Pavarde73         | 6         | 5      |
| Vardas74          | Pavarde74         | 1.2       | 5      |
| Vardas75          | Pavarde75         | 4.2       | 6      |
| Vardas76          | Pavarde76         | 4.2       | 5      |
| Vardas77          | Pavarde77         | 1.8       | 5      |
| Vardas78          | Pavarde78         | 6         | 5      |
| Vardas79          | Pavarde79         | 3.6       | 2      |
| Vardas80          | Pavarde80         | 4.8       | 6      |
| Vardas81          | Pavarde81         | 1.2       | 8      |
| Vardas82          | Pavarde82         | 1.2       | 5      |
| Vardas83          | Pavarde83         | 1.8       | 5      |
| Vardas84          | Pavarde84         | 3         | 3      |
| Vardas85          | Pavarde85         | 2.4       | 4      |
| Vardas86          | Pavarde86         | 2.4       | 8      |
| Vardas87          | Pavarde87         | 5.4       | 7      |
| Vardas88          | Pavarde88         | 4.2       | 5      |
| Vardas89          | Pavarde89         | 4.2       | 3      |
| Vardas90          | Pavarde90         | 5.4       | 8      |
| Vardas91          | Pavarde91         | 4.8       | 6      |
| Vardas92          | Pavarde92         | 4.8       | 4      |
| Vardas93          | Pavarde93         | 3         | 6      |
| Vardas94          | Pavarde94         | 5.4       | 3      |
| Vardas95          | Pavarde95         | 3         | 9      |
| Vardas96          | Pavarde96         | 2.4       | 6      |
| Vardas97          | Pavarde97         | 6         | 10     |
| Vardas98          | Pavarde98         | 3         | 7      |
| Vardas99          | Pavarde99         | 3.6       | 9      |
| Vardas100         | Pavarde100        | 4.8       | 6      |
+-------------------+-------------------+-----------+--------+


