Pavarde        Vardas         vidurkis            mediana             
___________________________________________________________________________________________________
Vardas8999     Pavarde8999    5                   4.8                 
Vardas7545     Pavarde7545    5                   5.2                 
Vardas7497     Pavarde7497    5                   6                   
Vardas4628     Pavarde4628    5                   6                   
Vardas7407     Pavarde7407    5                   5.6                 
Vardas3988     Pavarde3988    5                   4.8                 
Vardas6630     Pavarde6630    5                   4.8                 
Vardas6452     Pavarde6452    5                   5.2                 
Vardas9131     Pavarde9131    5                   4.8                 
Vardas6757     Pavarde6757    5                   4.4                 
Vardas6445     Pavarde6445    5                   5.2                 
Vardas133      Pavarde133     5                   6                   
Vardas2244     Pavarde2244    5                   5.6                 
Vardas3569     Pavarde3569    5                   4.8                 
Vardas3092     Pavarde3092    5                   5.2                 
Vardas6523     Pavarde6523    5                   5.2                 
Vardas8191     Pavarde8191    5                   4.8                 
Vardas3324     Pavarde3324    5                   5.2                 
Vardas3244     Pavarde3244    5                   4.8                 
Vardas2791     Pavarde2791    5                   4.8                 
Vardas9856     Pavarde9856    5                   5.2                 
Vardas9259     Pavarde9259    5                   4.4                 
Vardas410      Pavarde410     5                   4.8                 
Vardas460      Pavarde460     5                   5.2                 
Vardas3363     Pavarde3363    5                   5.2                 
Vardas4355     Pavarde4355    5                   5.2                 
Vardas3366     Pavarde3366    5                   4.8                 
Vardas3619     Pavarde3619    5                   4.8                 
Vardas9093     Pavarde9093    5                   5.2                 
Vardas6191     Pavarde6191    5                   5.2                 
Vardas5378     Pavarde5378    5                   4.8                 
Vardas2225     Pavarde2225    5                   5.2                 
Vardas888      Pavarde888     5                   5.2                 
Vardas7762     Pavarde7762    5                   5.6                 
Vardas7752     Pavarde7752    5                   4.8                 
Vardas7737     Pavarde7737    5                   5.2                 
Vardas3072     Pavarde3072    5                   5.2                 
Vardas985      Pavarde985     5                   5.2                 
Vardas4778     Pavarde4778    5                   5.2                 
Vardas5932     Pavarde5932    5                   4.8                 
Vardas7898     Pavarde7898    5                   5.6                 
Vardas3510     Pavarde3510    5                   5.2                 
Vardas1048     Pavarde1048    5                   5.6                 
