Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
__________________________________________________________
Vardas1        Pavarde1       4    1    3    7    3    4       
Vardas2        Pavarde2       5    3    2    9    3    8       
Vardas3        Pavarde3       8    3    7    1    3    5       
Vardas4        Pavarde4       2    5    6    3    7    6       
Vardas5        Pavarde5       6    8    2    10   1    6       
Vardas6        Pavarde6       8    4    7    4    10   6       
Vardas7        Pavarde7       9    9    8    3    9    5       
Vardas8        Pavarde8       7    6    3    2    4    7       
Vardas9        Pavarde9       5    7    10   6    6    6       
Vardas10       Pavarde10      1    5    2    1    7    1       
Vardas11       Pavarde11      3    5    4    10   5    6       
Vardas12       Pavarde12      9    6    9    5    4    5       
Vardas13       Pavarde13      1    9    8    9    6    1       
Vardas14       Pavarde14      8    6    8    6    2    9       
Vardas15       Pavarde15      9    7    2    8    10   5       
Vardas16       Pavarde16      10   5    7    6    8    3       
Vardas17       Pavarde17      1    2    10   4    6    2       
Vardas18       Pavarde18      1    4    4    2    2    5       
Vardas19       Pavarde19      5    8    9    6    8    4       
Vardas20       Pavarde20      2    5    8    5    2    6       
Vardas21       Pavarde21      1    3    3    9    5    8       
Vardas22       Pavarde22      7    4    2    4    6    10      
Vardas23       Pavarde23      10   1    2    6    9    1       
Vardas24       Pavarde24      5    2    9    3    2    6       
Vardas25       Pavarde25      4    5    5    5    8    8       
Vardas26       Pavarde26      3    5    8    1    1    4       
Vardas27       Pavarde27      2    1    3    1    9    4       
Vardas28       Pavarde28      7    6    1    9    10   9       
Vardas29       Pavarde29      9    10   10   6    1    4       
Vardas30       Pavarde30      6    6    2    10   1    9       
Vardas31       Pavarde31      6    1    2    5    2    10      
Vardas32       Pavarde32      8    4    4    4    2    6       
Vardas33       Pavarde33      5    1    8    5    8    6       
Vardas34       Pavarde34      3    1    1    6    3    6       
Vardas35       Pavarde35      7    7    8    8    5    9       
Vardas36       Pavarde36      1    9    8    7    7    5       
Vardas37       Pavarde37      3    1    8    5    9    6       
Vardas38       Pavarde38      6    7    9    2    5    1       
Vardas39       Pavarde39      8    10   10   3    10   4       
Vardas40       Pavarde40      9    1    4    10   3    2       
Vardas41       Pavarde41      1    2    3    4    9    6       
Vardas42       Pavarde42      2    5    2    8    1    10      
Vardas43       Pavarde43      8    9    1    7    4    8       
Vardas44       Pavarde44      5    7    7    6    1    4       
Vardas45       Pavarde45      1    9    1    7    10   9       
Vardas46       Pavarde46      3    7    9    2    3    6       
Vardas47       Pavarde47      10   10   9    10   3    7       
Vardas48       Pavarde48      7    3    8    6    2    6       
Vardas49       Pavarde49      10   6    4    10   1    5       
Vardas50       Pavarde50      10   4    3    1    7    6       
Vardas51       Pavarde51      10   1    3    8    2    4       
Vardas52       Pavarde52      3    5    8    4    4    8       
Vardas53       Pavarde53      8    3    8    10   9    4       
Vardas54       Pavarde54      7    6    2    2    7    9       
Vardas55       Pavarde55      7    10   5    3    4    10      
Vardas56       Pavarde56      9    6    6    1    6    1       
Vardas57       Pavarde57      4    6    3    4    10   1       
Vardas58       Pavarde58      5    3    10   7    4    8       
Vardas59       Pavarde59      1    5    3    8    9    6       
Vardas60       Pavarde60      2    2    5    8    6    10      
Vardas61       Pavarde61      9    3    10   6    7    4       
Vardas62       Pavarde62      6    4    4    4    6    7       
Vardas63       Pavarde63      1    6    6    10   8    6       
Vardas64       Pavarde64      9    7    1    3    8    3       
Vardas65       Pavarde65      10   1    6    3    10   7       
Vardas66       Pavarde66      5    9    8    7    5    7       
Vardas67       Pavarde67      10   2    6    5    6    9       
Vardas68       Pavarde68      3    4    10   8    9    5       
Vardas69       Pavarde69      2    6    2    1    1    1       
Vardas70       Pavarde70      7    5    6    4    9    8       
Vardas71       Pavarde71      4    7    4    10   7    3       
Vardas72       Pavarde72      10   9    10   4    10   7       
Vardas73       Pavarde73      7    9    4    10   4    3       
Vardas74       Pavarde74      6    6    10   3    9    9       
Vardas75       Pavarde75      6    6    8    8    4    2       
Vardas76       Pavarde76      2    1    9    3    10   5       
Vardas77       Pavarde77      5    1    6    4    8    8       
Vardas78       Pavarde78      10   4    1    2    4    7       
Vardas79       Pavarde79      2    9    2    8    1    7       
Vardas80       Pavarde80      7    10   10   7    5    2       
Vardas81       Pavarde81      7    9    9    10   5    6       
Vardas82       Pavarde82      5    3    7    2    1    10      
Vardas83       Pavarde83      2    1    10   8    9    6       
Vardas84       Pavarde84      3    7    4    9    5    8       
Vardas85       Pavarde85      9    9    9    2    3    3       
Vardas86       Pavarde86      9    3    10   5    4    7       
Vardas87       Pavarde87      8    8    1    9    5    8       
Vardas88       Pavarde88      5    10   3    2    5    4       
Vardas89       Pavarde89      6    2    9    5    3    6       
Vardas90       Pavarde90      7    5    5    6    7    3       
Vardas91       Pavarde91      6    10   4    1    3    2       
Vardas92       Pavarde92      5    2    9    10   4    3       
Vardas93       Pavarde93      3    10   2    6    7    5       
Vardas94       Pavarde94      3    3    3    1    10   6       
